year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,3,HA,Hawaiian Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",9.0,3.0,1.57,0.43,0.0,0.0,1.0,0.0,0.0,181.0,104.0,61.0,0.0,0.0,16.0
2025,3,HA,Hawaiian Airlines Network,LAX,"Los Angeles, CA: Los Angeles International",199.0,48.0,32.14,0.83,0.0,0.98,14.05,0.0,0.0,2831.0,1885.0,15.0,0.0,40.0,891.0
2025,3,HA,Hawaiian Airlines Network,SAN,"San Diego, CA: San Diego International",62.0,16.0,11.34,1.51,0.0,1.1,2.05,0.0,0.0,630.0,484.0,45.0,0.0,38.0,63.0
2025,3,HA,Hawaiian Airlines Network,SFO,"San Francisco, CA: San Francisco International",74.0,21.0,14.27,0.07,0.0,1.0,5.66,0.0,0.0,539.0,346.0,2.0,0.0,22.0,169.0
2025,3,MQ,Envoy Air,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",101.0,27.0,6.05,1.72,8.79,0.11,10.33,2.0,0.0,2101.0,454.0,144.0,633.0,27.0,843.0
2025,3,MQ,Envoy Air,AUS,"Austin, TX: Austin - Bergstrom International",149.0,38.0,13.8,1.2,8.98,0.65,13.37,5.0,1.0,1821.0,656.0,65.0,207.0,33.0,860.0
2025,3,MQ,Envoy Air,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5548.0,998.0,204.77,98.28,294.16,5.09,395.71,220.0,15.0,72786.0,20490.0,11359.0,13849.0,142.0,26946.0
2025,3,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",127.0,22.0,6.74,0.4,8.16,0.0,6.7,3.0,1.0,839.0,202.0,39.0,299.0,0.0,299.0
2025,3,MQ,Envoy Air,LAX,"Los Angeles, CA: Los Angeles International",31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,3,NK,Spirit Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",841.0,212.0,48.8,1.83,117.27,0.65,43.45,5.0,0.0,12554.0,3121.0,188.0,6245.0,64.0,2936.0
2025,3,NK,Spirit Airlines,AUS,"Austin, TX: Austin - Bergstrom International",111.0,22.0,4.94,0.0,14.72,0.21,2.13,0.0,0.0,1421.0,323.0,0.0,996.0,7.0,95.0
2025,3,NK,Spirit Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",719.0,156.0,33.8,2.74,90.88,0.0,28.57,5.0,3.0,13388.0,3870.0,183.0,7310.0,0.0,2025.0
2025,3,NK,Spirit Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",754.0,168.0,34.74,1.62,93.7,0.66,37.29,7.0,0.0,11201.0,2353.0,135.0,5725.0,39.0,2949.0
2025,3,NK,Spirit Airlines,LAX,"Los Angeles, CA: Los Angeles International",671.0,86.0,21.45,3.16,47.66,0.95,12.79,4.0,0.0,6257.0,1959.0,167.0,2804.0,39.0,1288.0
2025,3,NK,Spirit Airlines,SAN,"San Diego, CA: San Diego International",123.0,14.0,3.99,0.0,8.01,0.0,2.0,0.0,0.0,668.0,99.0,0.0,516.0,0.0,53.0
2025,3,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",318.0,71.0,21.08,1.89,14.62,0.6,32.81,10.0,0.0,5376.0,1387.0,377.0,518.0,91.0,3003.0
2025,3,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",995.0,230.0,51.99,22.49,49.52,0.51,105.49,71.0,12.0,26554.0,7266.0,4144.0,2605.0,10.0,12529.0
2025,3,OH,PSA Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",21.0,4.0,0.76,0.0,2.04,0.0,1.2,0.0,1.0,108.0,16.0,0.0,48.0,0.0,44.0
2025,3,OO,SkyWest Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",718.0,141.0,81.6,41.45,17.95,0.0,0.0,12.0,0.0,14692.0,8301.0,5174.0,1217.0,0.0,0.0
2025,3,OO,SkyWest Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",599.0,120.0,51.78,37.86,15.11,0.0,15.25,14.0,9.0,8357.0,3915.0,3023.0,705.0,0.0,714.0
2025,3,OO,SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2787.0,671.0,334.86,122.8,100.03,2.7,110.61,176.0,13.0,64741.0,33946.0,14500.0,7308.0,121.0,8866.0
2025,3,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1279.0,230.0,123.0,11.98,20.32,0.0,74.7,21.0,3.0,23328.0,12465.0,1720.0,1327.0,0.0,7816.0
2025,3,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3605.0,503.0,258.27,80.59,74.9,0.0,89.24,31.0,2.0,44430.0,23692.0,8990.0,4759.0,0.0,6989.0
2025,3,OO,SkyWest Airlines Inc.,SAN,"San Diego, CA: San Diego International",1173.0,325.0,151.07,18.68,65.34,0.0,89.91,13.0,4.0,18233.0,6569.0,2128.0,3423.0,0.0,6113.0
2025,3,OO,SkyWest Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",3028.0,773.0,264.58,24.07,354.46,0.0,129.89,44.0,15.0,64869.0,18890.0,3858.0,30557.0,0.0,11564.0
2025,3,QX,Horizon Air,LAX,"Los Angeles, CA: Los Angeles International",430.0,105.0,19.95,0.91,22.46,0.0,61.67,8.0,0.0,6319.0,1715.0,144.0,702.0,0.0,3758.0
2025,3,QX,Horizon Air,SAN,"San Diego, CA: San Diego International",178.0,46.0,8.12,1.18,12.91,0.0,23.79,0.0,1.0,2655.0,449.0,168.0,507.0,0.0,1531.0
2025,3,QX,Horizon Air,SFO,"San Francisco, CA: San Francisco International",466.0,142.0,13.57,0.64,85.64,0.0,42.15,15.0,1.0,8834.0,987.0,28.0,5355.0,0.0,2464.0
2025,3,UA,United Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",562.0,109.0,44.16,1.74,30.03,0.0,33.08,4.0,1.0,6934.0,2596.0,181.0,1295.0,0.0,2862.0
2025,3,UA,United Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",884.0,146.0,43.57,3.36,33.81,0.0,65.26,1.0,4.0,9837.0,2906.0,747.0,1416.0,0.0,4768.0
2025,3,UA,United Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",792.0,143.0,37.7,6.99,47.16,0.0,51.16,5.0,4.0,11636.0,2227.0,1053.0,3193.0,0.0,5163.0
2025,3,UA,United Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",5876.0,743.0,231.75,14.34,257.58,0.0,239.34,15.0,3.0,58497.0,20522.0,3138.0,9832.0,0.0,25005.0
2025,3,UA,United Air Lines Network,LAX,"Los Angeles, CA: Los Angeles International",2272.0,284.0,90.87,7.98,87.24,0.0,97.91,3.0,2.0,16246.0,5397.0,658.0,3173.0,0.0,7018.0
2025,3,UA,United Air Lines Network,SAN,"San Diego, CA: San Diego International",870.0,120.0,30.36,0.91,45.9,0.0,42.83,0.0,1.0,6858.0,1845.0,129.0,1599.0,0.0,3285.0
2025,3,UA,United Air Lines Network,SFO,"San Francisco, CA: San Francisco International",4608.0,950.0,177.12,35.25,546.97,0.0,190.65,10.0,1.0,73397.0,11970.0,3575.0,40766.0,0.0,17086.0
2025,3,WN,Southwest Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2425.0,391.0,117.43,7.92,96.04,0.0,169.61,18.0,7.0,24795.0,6640.0,1232.0,4442.0,0.0,12481.0
2025,3,WN,Southwest Airlines,AUS,"Austin, TX: Austin - Bergstrom International",3260.0,521.0,147.98,13.58,110.75,1.52,247.18,30.0,17.0,30797.0,7847.0,1264.0,5785.0,33.0,15868.0
2025,3,WN,Southwest Airlines,LAX,"Los Angeles, CA: Los Angeles International",2136.0,377.0,128.8,4.29,52.06,0.59,191.26,7.0,2.0,19874.0,6027.0,238.0,1671.0,16.0,11922.0
2025,3,WN,Southwest Airlines,SAN,"San Diego, CA: San Diego International",2982.0,599.0,154.14,4.4,157.88,1.32,281.27,22.0,9.0,32408.0,7793.0,377.0,6171.0,129.0,17938.0
2025,3,WN,Southwest Airlines,SFO,"San Francisco, CA: San Francisco International",644.0,201.0,60.21,5.15,69.62,0.0,66.03,3.0,0.0,15189.0,5345.0,284.0,5102.0,0.0,4458.0
2025,3,YV,Mesa Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",60.0,8.0,3.74,0.0,1.8,0.0,2.46,0.0,0.0,1009.0,565.0,0.0,114.0,0.0,330.0
2025,3,YV,Mesa Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",20.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,23.0,0.0,0.0,23.0,0.0,0.0
2025,3,YV,Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",68.0,17.0,5.3,0.0,6.94,0.0,4.76,2.0,0.0,1904.0,563.0,0.0,365.0,0.0,976.0
2025,3,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2479.0,346.0,126.62,10.94,93.01,0.0,115.43,25.0,6.0,33343.0,12180.0,2593.0,3699.0,0.0,14871.0
2025,3,YX,Republic Airline,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",100.0,21.0,4.3,0.0,7.18,0.0,9.52,0.0,0.0,1468.0,305.0,0.0,283.0,0.0,880.0
2025,3,YX,Republic Airline,AUS,"Austin, TX: Austin - Bergstrom International",13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,19.0,0.0,0.0
2025,3,YX,Republic Airline,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,3,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",51.0,10.0,1.34,0.05,5.95,0.0,2.66,0.0,0.0,595.0,52.0,3.0,317.0,0.0,223.0
2025,3,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3477.0,626.0,114.36,25.75,131.19,0.0,354.7,9.0,1.0,57690.0,16086.0,5779.0,6150.0,0.0,29675.0
2025,3,AA,American Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",545.0,139.0,54.65,3.88,34.07,0.0,46.4,12.0,0.0,11206.0,5004.0,1027.0,1513.0,0.0,3662.0
2025,3,AA,American Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",966.0,250.0,75.82,3.94,61.57,1.43,107.24,19.0,8.0,19917.0,5513.0,283.0,2690.0,35.0,11396.0
2025,3,AA,American Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14267.0,3105.0,702.31,160.03,1046.47,4.67,1191.53,355.0,72.0,292399.0,89820.0,30690.0,53388.0,199.0,118302.0
2025,3,AA,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",565.0,179.0,50.78,5.33,41.06,1.03,80.79,12.0,0.0,12236.0,2241.0,696.0,1749.0,49.0,7501.0
2025,3,AA,American Airlines Network,LAX,"Los Angeles, CA: Los Angeles International",2595.0,494.0,171.32,12.28,152.45,1.78,156.18,13.0,1.0,43066.0,18615.0,1358.0,5281.0,63.0,17749.0
2025,3,AA,American Airlines Network,SAN,"San Diego, CA: San Diego International",816.0,198.0,61.5,2.5,69.9,0.34,63.76,12.0,4.0,11445.0,3880.0,177.0,2731.0,19.0,4638.0
2025,3,AA,American Airlines Network,SFO,"San Francisco, CA: San Francisco International",983.0,267.0,73.95,3.6,100.47,0.0,88.98,8.0,3.0,18660.0,5637.0,293.0,4544.0,0.0,8186.0
2025,3,AS,Alaska Airlines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",98.0,26.0,4.44,0.25,19.94,0.0,1.37,0.0,1.0,928.0,168.0,39.0,669.0,0.0,52.0
2025,3,AS,Alaska Airlines Network,AUS,"Austin, TX: Austin - Bergstrom International",183.0,26.0,7.49,0.0,7.72,0.0,10.79,1.0,1.0,1183.0,384.0,0.0,228.0,0.0,571.0
2025,3,AS,Alaska Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",152.0,40.0,10.16,1.87,19.83,0.0,8.14,0.0,1.0,1670.0,488.0,67.0,770.0,0.0,345.0
2025,3,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",62.0,16.0,9.36,0.0,2.16,0.0,4.48,1.0,0.0,587.0,366.0,0.0,103.0,0.0,118.0
2025,3,AS,Alaska Airlines Network,LAX,"Los Angeles, CA: Los Angeles International",658.0,119.0,29.08,2.38,49.91,0.0,37.63,5.0,0.0,4497.0,1047.0,161.0,1418.0,0.0,1871.0
2025,3,AS,Alaska Airlines Network,SAN,"San Diego, CA: San Diego International",824.0,179.0,34.52,3.08,94.35,0.48,46.57,6.0,5.0,8067.0,1932.0,183.0,3268.0,23.0,2661.0
2025,3,AS,Alaska Airlines Network,SFO,"San Francisco, CA: San Francisco International",781.0,226.0,30.64,5.22,114.82,1.0,74.32,5.0,0.0,14317.0,1865.0,402.0,6896.0,19.0,5135.0
2025,3,B6,JetBlue Airways,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",160.0,40.0,14.44,0.54,10.82,0.0,14.2,1.0,1.0,2819.0,697.0,149.0,672.0,0.0,1301.0
2025,3,B6,JetBlue Airways,AUS,"Austin, TX: Austin - Bergstrom International",31.0,9.0,2.41,0.0,1.03,0.0,5.56,0.0,1.0,698.0,218.0,0.0,51.0,0.0,429.0
2025,3,B6,JetBlue Airways,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",31.0,6.0,1.84,0.0,3.17,0.0,0.99,0.0,0.0,290.0,73.0,0.0,131.0,0.0,86.0
2025,3,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",62.0,22.0,8.48,0.0,7.58,0.0,5.95,0.0,0.0,1019.0,368.0,0.0,280.0,0.0,371.0
2025,3,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",608.0,98.0,27.84,1.88,47.77,0.07,20.44,2.0,2.0,7345.0,1844.0,270.0,2079.0,15.0,3137.0
2025,3,B6,JetBlue Airways,SAN,"San Diego, CA: San Diego International",124.0,16.0,5.23,0.0,8.96,0.0,1.81,1.0,0.0,607.0,153.0,0.0,282.0,0.0,172.0
2025,3,B6,JetBlue Airways,SFO,"San Francisco, CA: San Francisco International",312.0,61.0,9.4,0.48,34.19,0.0,16.93,2.0,2.0,5000.0,859.0,193.0,1583.0,0.0,2365.0
2025,3,C5,CommuteAir LLC dba CommuteAir,IAH,"Houston, TX: George Bush Intercontinental/Houston",2024.0,216.0,48.53,18.0,60.2,0.0,89.27,52.0,1.0,20911.0,6231.0,2157.0,2483.0,0.0,10040.0
2025,3,DL,Delta Air Lines Network,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",19514.0,2938.0,814.86,80.75,701.39,0.95,1340.05,114.0,18.0,241658.0,85143.0,15254.0,39539.0,60.0,101662.0
2025,3,DL,Delta Air Lines Network,AUS,"Austin, TX: Austin - Bergstrom International",956.0,152.0,58.65,1.12,41.11,0.0,51.11,5.0,6.0,10328.0,4480.0,38.0,2312.0,0.0,3498.0
2025,3,DL,Delta Air Lines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1004.0,235.0,89.87,3.74,87.71,0.0,53.68,9.0,8.0,15314.0,6216.0,477.0,5056.0,0.0,3565.0
2025,3,DL,Delta Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",675.0,110.0,49.78,1.35,34.34,0.0,24.53,3.0,2.0,6421.0,3738.0,55.0,1193.0,0.0,1435.0
2025,3,DL,Delta Air Lines Network,LAX,"Los Angeles, CA: Los Angeles International",2942.0,481.0,172.53,4.51,154.3,0.0,149.66,8.0,7.0,34964.0,18148.0,234.0,5385.0,0.0,11197.0
2025,3,DL,Delta Air Lines Network,SAN,"San Diego, CA: San Diego International",774.0,152.0,55.48,1.39,61.81,0.0,33.32,1.0,5.0,7894.0,3534.0,127.0,2054.0,0.0,2179.0
2025,3,DL,Delta Air Lines Network,SFO,"San Francisco, CA: San Francisco International",1082.0,260.0,69.36,2.09,142.91,0.0,45.64,2.0,2.0,16396.0,4926.0,183.0,8060.0,0.0,3227.0
2025,3,F9,Frontier Airlines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1071.0,350.0,81.79,5.1,107.87,0.0,155.24,26.0,2.0,26405.0,9134.0,207.0,4902.0,0.0,12162.0
2025,3,F9,Frontier Airlines,AUS,"Austin, TX: Austin - Bergstrom International",154.0,36.0,13.63,0.46,5.82,0.0,16.08,1.0,1.0,2805.0,794.0,19.0,148.0,0.0,1844.0
2025,3,F9,Frontier Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",787.0,192.0,50.52,3.7,61.45,0.0,76.32,24.0,4.0,19189.0,7427.0,165.0,4030.0,0.0,7567.0
2025,3,F9,Frontier Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",379.0,110.0,26.89,0.23,54.55,0.0,28.32,5.0,0.0,6200.0,1502.0,17.0,2596.0,0.0,2085.0
2025,3,F9,Frontier Airlines,LAX,"Los Angeles, CA: Los Angeles International",442.0,95.0,22.94,0.62,20.51,0.0,50.94,3.0,0.0,5791.0,1296.0,34.0,1103.0,0.0,3358.0
2025,3,F9,Frontier Airlines,SAN,"San Diego, CA: San Diego International",181.0,37.0,12.08,0.69,7.32,0.0,16.9,4.0,1.0,2514.0,967.0,39.0,397.0,0.0,1111.0
2025,3,F9,Frontier Airlines,SFO,"San Francisco, CA: San Francisco International",387.0,105.0,15.14,0.36,57.63,0.0,31.87,7.0,0.0,7406.0,834.0,26.0,4192.0,0.0,2354.0
2025,3,G4,Allegiant Air,AUS,"Austin, TX: Austin - Bergstrom International",51.0,7.0,0.5,0.9,2.1,0.0,3.5,0.0,0.0,355.0,16.0,98.0,111.0,0.0,130.0
2025,3,G4,Allegiant Air,LAX,"Los Angeles, CA: Los Angeles International",54.0,4.0,1.09,0.0,0.82,0.0,2.08,0.0,0.0,150.0,29.0,0.0,14.0,0.0,107.0
